pathway_namespace	pathway_identifier	pathway_name	snps
reactome	R-HSA-111447	Activation of BAD and translocation to mitochondria	rs477895,rs4132509
reactome	R-HSA-114452	Activation of BH3-only proteins	rs10937405,rs477895,rs4132509,rs710521,rs7610017
reactome	R-HSA-111446	Activation of BIM and translocation to mitochondria	
reactome	R-HSA-139910	Activation of BMF and translocation to mitochondria	
reactome	R-HSA-174577	Activation of C3 and C5	
reactome	R-HSA-451308	Activation of Ca-permeable Kainate Receptor	rs363512,rs8099939,rs16868941,rs517811,rs12797755,rs12207601
reactome	R-HSA-1296041	Activation of G protein gated Potassium channels	rs4640244,rs29232,rs291353,rs8079702
reactome	R-HSA-991365	Activation of GABAB receptors	rs4640244,rs2601828,rs29232,rs263238,rs291353,rs2877716,rs8079702
reactome	R-HSA-5619507	Activation of HOX genes during differentiation	rs1529672,rs6670655,rs11897119,rs224278,rs6761,rs2300478,rs2839619,rs234720,rs2839627,rs2517388,rs1435703,rs4601609,rs6028945
reactome	R-HSA-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	rs10133111
reactome	R-HSA-1592389	Activation of Matrix Metalloproteinases	rs495366,rs1555322,rs783147,rs4789939
reactome	R-HSA-1169091	Activation of NF-kappaB in B cells	rs13017599,rs8016947,rs13031237,rs7238078,rs9357155,rs1432295,rs7665090,rs702873,rs831571
reactome	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	rs2807580
reactome	R-HSA-442755	Activation of NMDA receptors and postsynaptic events	rs242557,rs12658202,rs10898392,rs3885683,rs3110496,rs1127065,rs7795096,rs7805747,rs4764043,rs8070723,rs2283792,rs10501570,rs2160519,rs12807809,rs9303401,rs758642,rs4764039,rs263238,rs3743200,rs17148090,rs13224682,rs7798500,rs10491334,rs2439312
reactome	R-HSA-111448	Activation of NOXA and translocation to mitochondria	
reactome	R-HSA-451307	Activation of Na-permeable kainate receptors	rs363512,rs12207601
reactome	R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	rs7795096,rs7805747
reactome	R-HSA-139915	Activation of PUMA and translocation to mitochondria	rs10937405,rs710521,rs7610017
reactome	R-HSA-428540	Activation of RAC1	rs2084385,rs1379659
reactome	R-HSA-9619229	Activation of RAC1 downstream of NMDARs	rs3110496,rs758642
reactome	R-HSA-1169092	Activation of RAS in B cells	rs8035957
reactome	R-HSA-5635838	Activation of SMO	rs735172
reactome	R-HSA-187015	Activation of TRKA receptors	
reactome	R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	rs1529672,rs6670655,rs11897119,rs224278,rs6761,rs2300478,rs2839619,rs234720,rs2839627,rs2517388,rs1435703,rs4601609,rs6028945
reactome	R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage	
reactome	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	rs11868035,rs3846662,rs2645424
reactome	R-HSA-451326	Activation of kainate receptors upon glutamate binding	rs363512,rs16868941,rs291353,rs6056209,rs12207601,rs517811,rs8099939,rs6118083,rs12797755,rs1869901
reactome	R-HSA-450341	Activation of the AP-1 family of transcription factors	rs2283792,rs4601609
reactome	R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	rs2859631,rs9923451,rs987237
reactome	R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	rs2280401,rs12420464,rs12580100,rs16892766
reactome	R-HSA-2485179	Activation of the phototransduction cascade	
reactome	R-HSA-68962	Activation of the pre-replicative complex	rs2069408,rs16991615,rs2277339,rs837763,rs236114
reactome	R-HSA-75108	Activation, myristolyation of BID and translocation to mitochondria	rs8192917
reactome	R-HSA-114294	Activation, translocation and oligomerization of BAX	
reactome	R-HSA-1482798	Acyl chain remodeling of CL	rs2284063,rs738322,rs6001027
reactome	R-HSA-1482883	Acyl chain remodeling of DAG and TAG	
reactome	R-HSA-1482788	Acyl chain remodelling of PC	rs2285714,rs2284063,rs6001027,rs4664308,rs738322
reactome	R-HSA-1482839	Acyl chain remodelling of PE	rs2285714,rs2284063,rs6001027,rs4664308,rs738322,rs1202199
reactome	R-HSA-1482925	Acyl chain remodelling of PG	rs2285714,rs4664308
reactome	R-HSA-1482922	Acyl chain remodelling of PI	rs2285714,rs4664308
reactome	R-HSA-1482801	Acyl chain remodelling of PS	rs2285714,rs1902341,rs4664308,rs1202199
reactome	R-HSA-1280218	Adaptive Immune System	rs1853665,rs3132468,rs40457,rs10871454,rs17116334,rs3129055,rs2596542,rs10484561,rs3129890,rs27434,rs11643520,rs13437082,rs4713693,rs9282641,rs281437,rs9275698,rs999943,rs1799969,rs6074022,rs13031237,rs4132509,rs1011731,rs9264942,rs1394125,rs7453920,rs5498,rs3129882,rs864537,rs2248462,rs2306677,rs2523608,rs3177980,rs441051,rs9277535,rs2856718,rs2659546,rs8035957,rs1600249,rs4819388,rs1667394,rs1541160,rs6547705,rs3077,rs17277546,rs13236689,rs13192471,rs6903608,rs7765379,rs6966038,rs3826656,rs2437258,rs7208487,rs9929218,rs8016947,rs13390159,rs9271366,rs7774434,rs1980493,rs3772130,rs7812879,rs2647044,rs9500927,rs7665090,rs2523809,rs6457617,rs6583826,rs17030613,rs2857595,rs17036350,rs7255066,rs3769124,rs7922491,rs762421,rs7238078,rs16912145,rs10810865,rs2860580,rs3117098,rs987870,rs4821112,rs3135363,rs4675374,rs231735,rs660895,rs3135338,rs2647012,rs4906172,rs11630290,rs1378942,rs2476601,rs9275572,rs12138950,rs10947262,rs6565681,rs12913832,rs2084385,rs702873,rs3764021,rs13017599,rs3093030,rs2289700,rs2056626,rs30187,rs2855812,rs9468925,rs1755289,rs13160562,rs7775228,rs3763313,rs290986,rs10484554,rs13194984,rs2736340,rs9357152,rs9635963,rs1432295,rs2301271,rs5754217,rs2430212,rs9471576,rs3757354,rs1568657,rs3865444,rs1024161,rs678962,rs3806156,rs11158493,rs4821544,rs763361,rs2247056,rs6051520,rs2858331,rs9357155,rs2502731,rs831571
reactome	R-HSA-417973	Adenosine P1 receptors	
reactome	R-HSA-170660	Adenylate cyclase activating pathway	rs2601828,rs263238,rs2877716
reactome	R-HSA-170670	Adenylate cyclase inhibitory pathway	rs2601828,rs263238,rs2877716
reactome	R-HSA-418990	Adherens junctions interactions	rs2298574,rs7255066,rs8055236,rs4468878,rs9929218,rs3784962,rs1970546,rs13078807,rs11645366,rs4479806,rs10489849,rs1474747,rs4783244,rs944260,rs4701252,rs9292394,rs4925189,rs6563943
reactome	R-HSA-392023	Adrenaline signalling through Alpha-2 adrenergic receptor	rs869244
reactome	R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	rs291353,rs7076247,rs216013,rs2877716,rs869244,rs2070615,rs7069923
reactome	R-HSA-390696	Adrenoceptors	rs82625,rs869244,rs2782980
reactome	R-HSA-879415	Advanced glycosylation endproduct receptor signaling	rs2283792,rs2070600,rs11618202,rs17030613
reactome	R-HSA-5423646	Aflatoxin activation and detoxification	rs6686643,rs255049,rs255052,rs5751901,rs2472304
reactome	R-HSA-351143	Agmatine biosynthesis	
reactome	R-HSA-8964540	Alanine metabolism	
reactome	R-HSA-1462054	Alpha-defensins	
reactome	R-HSA-389599	Alpha-oxidation of phytanate	rs7590720
reactome	R-HSA-173736	Alternative complement activation	
reactome	R-HSA-140179	Amine Oxidase reactions	rs3027409
reactome	R-HSA-375280	Amine ligand-binding receptors	rs11214606,rs82625,rs869244,rs3995090,rs2782980
reactome	R-HSA-156587	Amino Acid conjugation	rs433598,rs9473582
reactome	R-HSA-352230	Amino acid transport across the plasma membrane	rs8101881,rs9036
reactome	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	rs1493682,rs1007738,rs4906172,rs438034,rs11158493
reactome	R-HSA-141424	Amplification of signal from the kinetochores	rs1493682,rs1007738,rs4906172,rs438034,rs11158493
reactome	R-HSA-977225	Amyloid fiber formation	rs11931074,rs1667255,rs7111341,rs2736990,rs1341239,rs356220
reactome	R-HSA-2214320	Anchoring fibril formation	rs3742207,rs441051,rs7319311,rs525410
reactome	R-HSA-5620912	Anchoring of the basal body to the plasma membrane	rs2301436,rs784411,rs2236164,rs1007738,rs7798500,rs13224682,rs4906172,rs11154801
reactome	R-HSA-193048	Androgen biosynthesis	rs17115100
reactome	R-HSA-2473224	Antagonism of Activin by Follistatin	rs7789197
reactome	R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	rs2523608,rs30187,rs9468925,rs13160562,rs10484554,rs3129055,rs2247056,rs2860580,rs27434,rs13437082,rs9264942,rs2523809,rs4713693
reactome	R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	rs290986,rs999943,rs1600249,rs2306677,rs2736340,rs7812879
reactome	R-HSA-1236975	Antigen processing-Cross presentation	rs2523608,rs13236689,rs2437258,rs9468925,rs10871454,rs10484554,rs3129055,rs4821544,rs2247056,rs9357155,rs2860580,rs13437082,rs9264942,rs2523809,rs831571,rs4713693
reactome	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	rs3769124,rs17116334,rs16912145,rs1667394,rs3757354,rs11643520,rs5754217,rs2430212,rs4821112,rs1568657,rs17277546,rs6966038,rs7208487,rs13390159,rs11630290,rs3772130,rs9357155,rs6565681,rs1394125,rs12913832,rs831571
reactome	R-HSA-6803157	Antimicrobial peptides	rs569214,rs3093023,rs2274910,rs3093024
reactome	R-HSA-1169410	Antiviral mechanism by IFN-stimulated genes	rs12199222,rs45430,rs4294134
reactome	R-HSA-109581	Apoptosis	rs210138,rs6845865,rs242557,rs744166,rs768048,rs13278062,rs710521,rs7610017,rs10937405,rs8070723,rs1941184,rs11141915,rs210134,rs2234978,rs2283792,rs11618202,rs9929218,rs477895,rs8192917,rs4132509,rs7504990,rs9357155,rs7236477,rs2084385,rs831571
reactome	R-HSA-140342	Apoptosis induced DNA fragmentation	rs11618202
reactome	R-HSA-351906	Apoptotic cleavage of cell adhesion  proteins	rs7236477,rs9929218,rs1941184
reactome	R-HSA-111465	Apoptotic cleavage of cellular proteins	rs242557,rs8070723,rs1941184,rs7236477,rs9929218
reactome	R-HSA-75153	Apoptotic execution phase	rs242557,rs11618202,rs9929218,rs8070723,rs1941184,rs7236477,rs2084385
reactome	R-HSA-111471	Apoptotic factor-mediated response	rs210138,rs210134,rs2283792
reactome	R-HSA-445717	Aquaporin-mediated transport	rs2601828,rs263238,rs291353,rs2877716,rs13224682,rs7798500
reactome	R-HSA-426048	Arachidonate production from DAG	
reactome	R-HSA-2142753	Arachidonic acid metabolism	rs4086116,rs2470893,rs1057910,rs2108622,rs255049,rs255052,rs854555,rs2185570,rs12767583,rs10509680,rs5751901,rs2472304
reactome	R-HSA-211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	rs2472304
reactome	R-HSA-8937144	Aryl hydrocarbon receptor signalling	rs12188164
reactome	R-HSA-446203	Asparagine N-linked glycosylation	rs10994397,rs12658202,rs17608766,rs10438933,rs16861329,rs454305,rs17030613,rs2236653,rs8007846,rs9378688,rs2216228,rs3815148,rs6031882,rs4906172,rs10937275,rs10760706,rs12138950,rs633715,rs4293393,rs7993214,rs7111341,rs13333226,rs4948418,rs10483776,rs11898505,rs10743430,rs4227,rs910316,rs516636,rs10873876,rs10761482,rs11220462,rs655601,rs183211,rs7159888,rs11602954,rs199533,rs10913469,rs2280543
reactome	R-HSA-8963693	Aspartate and asparagine metabolism	
reactome	R-HSA-175474	Assembly Of The HIV Virion	
reactome	R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	rs4764039,rs4764043,rs10898392,rs3885683,rs17148090,rs10501570,rs2160519,rs1127065
reactome	R-HSA-168316	Assembly of Viral Components at the Budding Site	
reactome	R-HSA-8963889	Assembly of active LPL and LIPC lipase complexes	rs7561273,rs2842483,rs1532085,rs12678919,rs10512049,rs12272004,rs3825776,rs2083637,rs10468017,rs10096633,rs4775031
reactome	R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	rs495366,rs946053,rs10874639,rs441051,rs893817,rs7319311,rs12621278,rs7044529,rs3742207,rs525410
reactome	R-HSA-68616	Assembly of the ORC complex at the origin of replication	
reactome	R-HSA-68867	Assembly of the pre-replicative complex	rs16991615,rs9357155,rs837763,rs831571,rs236114
reactome	R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	rs8102137,rs744166,rs10456809,rs429608
reactome	R-HSA-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	
reactome	R-HSA-4608870	Asymmetric localization of PCP proteins	rs9357155,rs831571
reactome	R-HSA-162791	Attachment of GPI anchor to uPAR	
reactome	R-HSA-3371568	Attenuation phase	
reactome	R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	rs16912145,rs9357155,rs831571
reactome	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	rs1801516,rs9357155,rs831571
reactome	R-HSA-177539	Autointegration results in viral DNA circles	rs7742369,rs1776897
reactome	R-HSA-9612973	Autophagy	rs6610953,rs17036350,rs12537,rs7795096,rs7805747,rs2075650,rs157580,rs2241880,rs3792109
reactome	R-HSA-422475	Axon guidance	rs768048,rs10510181,rs6604026,rs2070615,rs7319311,rs735854,rs12540874,rs3805236,rs2283792,rs2160519,rs10748128,rs4821469,rs1574192,rs6795970,rs4298437,rs2032794,rs1011731,rs10074258,rs3110496,rs2281845,rs216013,rs7050529,rs6800541,rs731174,rs12053903,rs4703129,rs10761482,rs4404602,rs757978,rs3914132,rs7504990,rs6107516,rs7076247,rs10483853,rs11979158,rs12643654,rs7069923,rs10994397,rs2158836,rs6764363,rs9871760,rs11767557,rs197770,rs7044529,rs10810865,rs4764043,rs1436109,rs882300,rs7702057,rs1064395,rs4764039,rs6052699,rs3780792,rs13015447,rs7341475,rs17157903,rs2084385,rs1746048,rs12279261,rs1379659,rs4948418,rs1755289,rs11898505,rs10243024,rs4282339,rs10507380,rs3922844,rs831571,rs2280401,rs1551943,rs12580100,rs538147,rs12344583,rs678962,rs17581368,rs3889237,rs2502731,rs9357155,rs3742207,rs10932886
reactome	R-HSA-193634	Axonal growth inhibition (RHOA activation)	rs9652490
reactome	R-HSA-209563	Axonal growth stimulation	
reactome	R-HSA-5250924	B-WICH complex positively regulates rRNA expression	rs2240466,rs7097,rs8321
reactome	R-HSA-5620922	BBSome-mediated cargo-targeting to cilium	rs9814870
reactome	R-HSA-9024909	BDNF activates NTRK2 (TRKB) signaling	rs6265
reactome	R-HSA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	rs744166,rs477895
reactome	R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	rs6442925
reactome	R-HSA-73884	Base Excision Repair	rs690705,rs3219090,rs1395479
reactome	R-HSA-73929	Base-Excision Repair, AP Site Formation	rs1395479
reactome	R-HSA-210991	Basigin interactions	rs12621278,rs10919071,rs8101881,rs3807989
reactome	R-HSA-1461957	Beta defensins	rs3093023,rs3093024
reactome	R-HSA-77352	Beta oxidation of butanoyl-CoA to acetyl-CoA	
reactome	R-HSA-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	
reactome	R-HSA-77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA	
reactome	R-HSA-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	rs2286963
reactome	R-HSA-77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA	rs2286963
reactome	R-HSA-77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA	
reactome	R-HSA-77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA	
reactome	R-HSA-3858494	Beta-catenin independent WNT signaling	rs6056209,rs2306677,rs291353,rs16826658,rs7903146,rs7922491,rs2659546,rs6118083,rs4944092,rs7901695,rs710841,rs956237,rs999943,rs3796804,rs12484776,rs139909,rs9623117,rs3889237,rs9357155,rs1869901,rs831571
reactome	R-HSA-196299	Beta-catenin phosphorylation cascade	rs11158493
reactome	R-HSA-389887	Beta-oxidation of pristanoyl-CoA	rs7578982,rs4849121,rs17483466
reactome	R-HSA-390247	Beta-oxidation of very long chain fatty acids	rs7374394
reactome	R-HSA-425381	Bicarbonate transporters	rs4973768
reactome	R-HSA-194068	Bile acid and bile salt metabolism	rs4149081,rs11568563,rs552976,rs9635963,rs16856332,rs4363657
reactome	R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	rs541041,rs13236689,rs7306642,rs693,rs6754295,rs441051,rs2239785,rs673548,rs7319311,rs2000999,rs1466535,rs3742207,rs11057830,rs4765623,rs7136716,rs11172113
reactome	R-HSA-173107	Binding and entry of HIV virion	rs882300
reactome	R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	rs956237,rs7903146,rs7901695,rs9642880,rs10903122
reactome	R-HSA-141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	rs3027409
reactome	R-HSA-211859	Biological oxidations	rs4086116,rs2068888,rs2899472,rs991316,rs2108622,rs255052,rs12772169,rs6686643,rs2185570,rs4148325,rs1789924,rs12188164,rs11892031,rs5751901,rs887829,rs2470893,rs1057910,rs3027409,rs255049,rs1495741,rs6742078,rs2847476,rs9473582,rs2305707,rs12073837,rs1789891,rs12767583,rs433598,rs10509680,rs2248359,rs2472304
reactome	R-HSA-2466712	Biosynthesis of A2E, implicated in retinal degradation	
reactome	R-HSA-9018676	Biosynthesis of D-series resolvins	
reactome	R-HSA-9018677	Biosynthesis of DHA-derived SPMs	rs4086116,rs2185570,rs2470893,rs1057910,rs10509680,rs2472304
reactome	R-HSA-9026395	Biosynthesis of DHA-derived sulfido conjugates	
reactome	R-HSA-9018683	Biosynthesis of DPA-derived SPMs	
reactome	R-HSA-9025094	Biosynthesis of DPAn-3 SPMs	
reactome	R-HSA-9026403	Biosynthesis of DPAn-3-derived 13-series resolvins	
reactome	R-HSA-9026290	Biosynthesis of DPAn-3-derived maresins	
reactome	R-HSA-9026286	Biosynthesis of DPAn-3-derived protectins and resolvins	
reactome	R-HSA-9025106	Biosynthesis of DPAn-6 SPMs	
reactome	R-HSA-9023661	Biosynthesis of E-series 18(R)-resolvins	
reactome	R-HSA-9018896	Biosynthesis of E-series 18(S)-resolvins	
reactome	R-HSA-9018679	Biosynthesis of EPA-derived SPMs	
reactome	R-HSA-9020265	Biosynthesis of aspirin-triggered D-series resolvins	
reactome	R-HSA-9027604	Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives	
reactome	R-HSA-9026762	Biosynthesis of maresin conjugates in tissue regeneration (MCTR)	
reactome	R-HSA-9027307	Biosynthesis of maresin-like SPMs	rs4086116,rs2185570,rs1057910,rs10509680,rs2472304
reactome	R-HSA-9018682	Biosynthesis of maresins	rs4086116,rs2185570,rs1057910,rs10509680,rs2472304
reactome	R-HSA-9026766	Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)	
reactome	R-HSA-9018681	Biosynthesis of protectins	rs2470893,rs2472304
reactome	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	rs4086116,rs2185570,rs2470893,rs1057910,rs10509680,rs2472304
reactome	R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	rs10873876,rs16861329,rs10937275,rs11220462,rs2236653,rs10743430,rs9378688,rs4227,rs2216228
reactome	R-HSA-196780	Biotin transport and metabolism	rs7122539,rs7651039,rs10513789
reactome	R-HSA-9033658	Blood group systems biosynthesis	rs495828,rs505922,rs11220462,rs3760776,rs2236653,rs8176746,rs657152,rs602662,rs504963
reactome	R-HSA-70895	Branched-chain amino acid catabolism	rs10518693,rs10513789
reactome	R-HSA-352238	Breakdown of the nuclear lamina	
reactome	R-HSA-168302	Budding	
reactome	R-HSA-162588	Budding and maturation of HIV virion	
reactome	R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	rs4902642,rs4899260,rs4902647
reactome	R-HSA-8851680	Butyrophilin (BTN) family interactions	rs3763313,rs10947262,rs1980493,rs13194984,rs3117098,rs3806156
reactome	R-HSA-5621481	C-type lectin receptors (CLRs)	rs999943,rs1109501,rs4072037,rs2306677,rs968451,rs8016947,rs2659546,rs4077515,rs290986,rs10781500,rs16912145,rs9357155,rs7238078,rs2413583,rs7665090,rs2084385,rs831571
reactome	R-HSA-75102	C6 deamination of adenosine	rs2838815
reactome	R-HSA-5218900	CASP8 activity is inhibited	rs2234978,rs13278062
reactome	R-HSA-5621575	CD209 (DC-SIGN) signaling	rs7665090,rs2084385
reactome	R-HSA-5690714	CD22 mediated BCR regulation	
reactome	R-HSA-389356	CD28 co-stimulation	rs4132509,rs6051520,rs17036350,rs2084385,rs9282641
reactome	R-HSA-389357	CD28 dependent PI3K/Akt signaling	rs4132509,rs6051520,rs17036350,rs9282641
reactome	R-HSA-389359	CD28 dependent Vav1 pathway	rs2084385,rs9282641
reactome	R-HSA-68689	CDC6 association with the ORC:origin complex	rs16991615,rs236114
