pathway_namespace	pathway_identifier	pathway_name	snps
kegg	path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	rs6586282,rs37369,rs3027409,rs477992,rs391300
kegg	path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	rs4636294,rs6586282,rs37369,rs477992,rs2896526,rs7023329
kegg	path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	rs10518693,rs10513789,rs7374394,rs37369
kegg	path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	
kegg	path:hsa00310	Lysine degradation - Homo sapiens (human)	rs7374394,rs17050782
kegg	path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	rs2807278,rs4795067,rs3027409
kegg	path:hsa00340	Histidine metabolism - Homo sapiens (human)	rs3027409
kegg	path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	rs1042602,rs1789891,rs991316,rs3027409,rs1847134,rs1789924,rs1393350
kegg	path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	rs3027409
kegg	path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	rs2470893,rs7374394,rs3027409,rs2472304
kegg	path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	
kegg	path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	rs7374394
kegg	path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	rs5751901
kegg	path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	
kegg	path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	
kegg	path:hsa00471	D-Glutamine and D-glutamate metabolism - Homo sapiens (human)	
kegg	path:hsa00472	D-Arginine and D-ornithine metabolism - Homo sapiens (human)	
kegg	path:hsa00480	Glutathione metabolism - Homo sapiens (human)	rs6686643,rs5751901
kegg	path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	rs3757840,rs560887,rs1402837,rs4607517,rs7072268,rs730497
kegg	path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	rs8007846,rs16861329,rs6031882,rs655601,rs10937275,rs10483776,rs7159888
kegg	path:hsa00511	Other glycan degradation - Homo sapiens (human)	rs228614
kegg	path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	rs10259085,rs6710518
kegg	path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	rs8007846,rs6031882,rs655601,rs10483776,rs7159888
kegg	path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	rs10937275,rs16861329
kegg	path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	
kegg	path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	rs3757840,rs9378688,rs4607517,rs7072268,rs730497,rs10743430
kegg	path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	rs7072268,rs3757840,rs4607517,rs730497
kegg	path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	rs530501,rs337847
kegg	path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	rs2500535
kegg	path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	rs8007846,rs10483776,rs7159888,rs10865331
kegg	path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	rs10521232,rs12048904,rs3848445,rs2038823
kegg	path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	rs1532085,rs12678919,rs10460009,rs6561030,rs3825776,rs1012053,rs2083637,rs10468017,rs4939883,rs11248060,rs4142110,rs838705,rs1202199,rs7435,rs10096633,rs4775031
kegg	path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	rs6056209,rs3781264,rs12537,rs2274223,rs9664222,rs9969804,rs6118083,rs2302189,rs3765524,rs1869901,rs7506045
kegg	path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	rs9467160,rs1883415
kegg	path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	rs2284063,rs10460009,rs6561030,rs738322,rs1012053,rs2285714,rs4142110,rs838705,rs6001027,rs1202199,rs4129767,rs7435,rs11248060
kegg	path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	rs2285714,rs2284063,rs6001027,rs7112513,rs738322
kegg	path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	rs4086116,rs1057910,rs2284063,rs2108622,rs738322,rs2185570,rs2285714,rs12767583,rs6001027,rs10509680,rs5751901
kegg	path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	rs4086116,rs1057910,rs2284063,rs738322,rs2185570,rs2285714,rs12767583,rs6001027,rs10509680,rs2472304
kegg	path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	rs2285714,rs1535,rs2284063,rs6001027,rs174570,rs738322
kegg	path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	rs680379,rs17126232,rs10438933,rs7157785
kegg	path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	rs495828,rs505922,rs10865331,rs11220462,rs3760776,rs2236653,rs8176746,rs657152,rs602662,rs2216228,rs504963
kegg	path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	rs602662,rs2216228,rs504963
kegg	path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	rs10873876,rs2216228
kegg	path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	rs7122539,rs2896526,rs732528
kegg	path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	
kegg	path:hsa00640	Propanoate metabolism - Homo sapiens (human)	rs6792584,rs2896526,rs7374394
kegg	path:hsa00650	Butanoate metabolism - Homo sapiens (human)	rs7374394,rs433598
kegg	path:hsa00670	One carbon pool by folate - Homo sapiens (human)	rs11754661,rs10498514,rs2295639,rs1801133,rs17367504
kegg	path:hsa00730	Thiamine metabolism - Homo sapiens (human)	
kegg	path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	rs7253363
kegg	path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	
kegg	path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	rs873917,rs4698412,rs2847476,rs4538475
kegg	path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	rs11185790
kegg	path:hsa00780	Biotin metabolism - Homo sapiens (human)	rs7651039
kegg	path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	
kegg	path:hsa00790	Folate biosynthesis - Homo sapiens (human)	
kegg	path:hsa00830	Retinol metabolism - Homo sapiens (human)	rs4086116,rs887829,rs2470893,rs991316,rs1057910,rs2068888,rs12367822,rs6742078,rs12772169,rs2185570,rs4148325,rs1789891,rs1789924,rs11892031,rs10509680,rs2472304
kegg	path:hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	rs887829,rs4148325,rs5934953,rs11892031,rs7134594,rs6742078
kegg	path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	rs3846662
kegg	path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	
kegg	path:hsa00920	Sulfur metabolism - Homo sapiens (human)	
kegg	path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	
kegg	path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	rs4086116,rs887829,rs2470893,rs991316,rs1057910,rs6742078,rs6686643,rs2185570,rs4148325,rs1789891,rs1789924,rs11892031,rs10509680,rs2472304
kegg	path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	rs4086116,rs887829,rs991316,rs1057910,rs3027409,rs6742078,rs6686643,rs2185570,rs4148325,rs1789891,rs12767583,rs1789924,rs11892031,rs10509680,rs2472304
kegg	path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	rs887829,rs11637235,rs1495741,rs4657482,rs2074955,rs6742078,rs6686643,rs4148325,rs16861990,rs470119,rs11892031
kegg	path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	rs174546,rs1535,rs174570,rs3734398
kegg	path:hsa01100	Metabolic pathways - Homo sapiens (human)	rs2068888,rs1535,rs10438933,rs1348582,rs6561030,rs3825776,rs947583,rs9923231,rs4148325,rs657152,rs10518693,rs838705,rs6118083,rs1801133,rs7072268,rs3800569,rs738322,rs560887,rs1588265,rs433598,rs602662,rs3765524,rs10509680,rs2472304,rs2295639,rs4698412,rs16861990,rs7651039,rs7134594,rs873917,rs1057910,rs12537,rs6791644,rs17367504,rs3757840,rs1402837,rs1883415,rs10493389,rs505922,rs7374394,rs10259085,rs10865331,rs3781264,rs10510837,rs12418204,rs2645424,rs4939883,rs4142110,rs1042602,rs7924176,rs11892031,rs504963,rs702543,rs10498514,rs6031882,rs11637235,rs10460009,rs6710518,rs2074955,rs10937275,rs2305707,rs8176746,rs2601828,rs9969804,rs2302189,rs2286963,rs17126232,rs391300,rs3760776,rs10743430,rs11611208,rs530501,rs2185570,rs37369,rs5751901,rs11248060,rs10873876,rs6586282,rs2470893,rs17115100,rs2847476,rs12048904,rs470119,rs4129767,rs2248359,rs730497,rs2899472,rs991316,rs2877716,rs10513789,rs9378688,rs11754661,rs4607517,rs3027409,rs10841496,rs4657482,rs12767583,rs1202199,rs680379,rs4086116,rs6056209,rs2108622,rs10483776,rs12772169,rs7122539,rs9664222,rs174570,rs174546,rs887829,rs495828,rs1393350,rs11220462,rs12367822,rs1495741,rs3846662,rs11143230,rs7112513,rs1532085,rs16861329,rs1847134,rs477992,rs337847,rs2236653,rs3734398,rs10468017,rs6686643,rs2285714,rs8007846,rs6001027,rs1789924,rs10052657,rs7023329,rs2216228,rs4538475,rs9467160,rs263238,rs4795067,rs6742078,rs1012053,rs4636294,rs11185790,rs1869901,rs4775031,rs7506045,rs10510829,rs2896526,rs2274223,rs7253363,rs7435,rs2807278,rs6792584,rs2284063,rs655601,rs7159888,rs1823068,rs1789891
kegg	path:hsa01200	Carbon metabolism - Homo sapiens (human)	rs6792584,rs7374394,rs4607517,rs477992,rs17367504,rs7122539,rs3757840,rs1801133,rs7072268,rs732528,rs730497
kegg	path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	
kegg	path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	rs174546,rs1535,rs7374394,rs2286963,rs174570,rs3734398
kegg	path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	rs2807278,rs7122539,rs6586282,rs477992
kegg	path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	rs744166,rs180515,rs17036350,rs454305,rs2114039,rs10243024,rs2153960,rs2439312,rs9480865,rs3805236,rs9472138,rs2283792,rs10895547,rs1219648,rs4537545,rs7677751,rs3889237,rs4129267,rs10758669,rs477895,rs2981579,rs4132509,rs5742692,rs11979158,rs8023445
kegg	path:hsa01522	Endocrine resistance - Homo sapiens (human)	rs180515,rs17036350,rs2877716,rs10876993,rs6902771,rs404860,rs742134,rs552976,rs16856332,rs2283792,rs2504063,rs9296015,rs1999805,rs263238,rs3131296,rs443198,rs543650,rs1321311,rs4601609,rs2601828,rs477895,rs4132509,rs5742692,rs11979158,rs8023445,rs2273061
kegg	path:hsa01523	Antifolate resistance - Homo sapiens (human)	rs2231142,rs1481012,rs1926657,rs4148441,rs1801133,rs7665090,rs4148546,rs17367504
kegg	path:hsa01524	Platinum drug resistance - Homo sapiens (human)	rs210138,rs1801516,rs6900341,rs1321311,rs2234978,rs6686643,rs477895,rs4132509,rs210134,rs2283792,rs240993
kegg	path:hsa02010	ABC transporters - Homo sapiens (human)	rs4148546,rs1926657,rs3905000,rs2515629,rs425215,rs2575876,rs4299376,rs3764650,rs12686004,rs2231142,rs1481012,rs4148441,rs552976,rs16856332,rs6544713,rs6756629,rs4149268
kegg	path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	rs2071598,rs2416257,rs619865
kegg	path:hsa03010	Ribosome - Homo sapiens (human)	rs2280401,rs6604026,rs12580100,rs10507380
kegg	path:hsa03013	RNA transport - Homo sapiens (human)	rs12199222,rs2071598,rs4660293,rs16892766,rs12420464,rs798766,rs4294134
kegg	path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	rs1864982,rs4660293,rs11158493
kegg	path:hsa03018	RNA degradation - Homo sapiens (human)	rs16887244,rs8060686,rs4660293,rs429608,rs11062040
kegg	path:hsa03020	RNA polymerase - Homo sapiens (human)	rs2562519,rs6761,rs7097,rs8321
kegg	path:hsa03022	Basal transcription factors - Homo sapiens (human)	rs2978263
kegg	path:hsa03030	DNA replication - Homo sapiens (human)	rs690705,rs2277339
kegg	path:hsa03040	Spliceosome - Homo sapiens (human)	rs11205277,rs4811196
kegg	path:hsa03050	Proteasome - Homo sapiens (human)	rs9357155,rs831571
kegg	path:hsa03060	Protein export - Homo sapiens (human)	rs10279573,rs12531640,rs1534166
kegg	path:hsa03320	PPAR signaling pathway - Homo sapiens (human)	rs13236689,rs1535,rs7374394,rs7120118,rs12678919,rs1648707,rs12272004,rs2083637,rs11666579,rs6065904,rs266717,rs285480,rs10800098,rs174570,rs2286963,rs10096633
kegg	path:hsa03410	Base excision repair - Homo sapiens (human)	rs3219090,rs11618202,rs1395479
kegg	path:hsa03420	Nucleotide excision repair - Homo sapiens (human)	rs690705,rs3136202,rs2113334
kegg	path:hsa03430	Mismatch repair - Homo sapiens (human)	rs690705
kegg	path:hsa03440	Homologous recombination - Homo sapiens (human)	rs999737,rs1801516,rs11661542,rs6435862,rs911263,rs1956529,rs365132,rs2244012,rs420259,rs2718812,rs3768716
kegg	path:hsa03450	Non-homologous end-joining - Homo sapiens (human)	rs16859517,rs2244012
kegg	path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	rs420259,rs3136202,rs730566,rs6900341,rs16966142,rs2113334,rs240993,rs1923775
kegg	path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	rs2115386,rs12593813,rs1350666,rs242557,rs454305,rs968451,rs2306374,rs891088,rs2070615,rs17086609,rs484959,rs6774494,rs6687758,rs9642880,rs5945326,rs4338740,rs798544,rs12821256,rs8070723,rs2234978,rs2283792,rs2121875,rs1182188,rs1366594,rs1004446,rs152528,rs3743200,rs2032794,rs2981579,rs4132509,rs2413583,rs6265,rs10074258,rs9290936,rs17369571,rs2084385,rs4601609,rs3782181,rs7111341,rs2114039,rs892055,rs2659546,rs10243024,rs8035957,rs2281845,rs216013,rs16886165,rs9472138,rs889312,rs1458038,rs7158173,rs10895547,rs1800693,rs1219648,rs798497,rs6691170,rs7626795,rs7677751,rs7209435,rs3889237,rs7076247,rs5742692,rs7665090,rs2241423,rs11979158,rs995030,rs538147,rs7069923
kegg	path:hsa04012	ErbB signaling pathway - Homo sapiens (human)	rs1350666,rs2283792,rs180515,rs17036350,rs1484170,rs11979158,rs454305,rs9642880,rs1321311,rs2439312,rs3889237,rs4601609,rs1127065,rs3805236,rs477895,rs4132509,rs2084385,rs8023445
kegg	path:hsa04014	Ras signaling pathway - Homo sapiens (human)	rs2115386,rs11221332,rs10444502,rs291353,rs454305,rs6590330,rs891088,rs2306374,rs3781264,rs17086609,rs484959,rs4338740,rs2285714,rs3805236,rs12821256,rs6918152,rs6001027,rs4764043,rs2283792,rs2121875,rs2160519,rs4764039,rs1004446,rs738322,rs152528,rs3743200,rs2032794,rs13031237,rs477895,rs2981579,rs4132509,rs6265,rs4651156,rs10074258,rs3765524,rs17369571,rs2084385,rs702873,rs8023445,rs11065987,rs13017599,rs815815,rs3782181,rs12210050,rs7111341,rs2114039,rs892055,rs10243024,rs10499559,rs8035957,rs2274223,rs1432295,rs9472138,rs1458038,rs10895547,rs2284063,rs1219648,rs4767631,rs7677751,rs3889237,rs5742692,rs7665090,rs11979158,rs995030
kegg	path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	rs2115386,rs2877716,rs2306374,rs891088,rs3781264,rs2084881,rs484959,rs17086609,rs7905537,rs4338740,rs12821256,rs4764043,rs6118083,rs3753242,rs11848785,rs2283792,rs2121875,rs2160519,rs263238,rs4764039,rs152528,rs2601828,rs3780792,rs2981579,rs4132509,rs786870,rs10074258,rs3765524,rs17369571,rs1869901,rs3782181,rs815815,rs6056209,rs11214606,rs7111341,rs2114039,rs11083846,rs10243024,rs10499559,rs2274223,rs9888739,rs9472138,rs6122972,rs425105,rs1458038,rs10895547,rs12344583,rs1219648,rs9929218,rs11150610,rs7677751,rs3889237,rs757978,rs1983853,rs5742692,rs4075958,rs11979158,rs995030
kegg	path:hsa04020	Calcium signaling pathway - Homo sapiens (human)	rs2681492,rs82625,rs2229116,rs3781264,rs3995090,rs3750965,rs2819742,rs2819770,rs6118083,rs882300,rs999943,rs263238,rs2681472,rs10831496,rs4795067,rs2601828,rs4074536,rs7554607,rs3765524,rs1869901,rs815815,rs6056209,rs2306677,rs11880198,rs2114039,rs2659546,rs2782980,rs1127065,rs6842241,rs11065611,rs2274223,rs2281845,rs216013,rs6844153,rs11979158,rs4650608,rs12883884,rs7677751,rs3889237,rs13405728,rs6807064,rs10491334
kegg	path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	rs2115386,rs4979906,rs1348582,rs2877716,rs891088,rs82625,rs7922491,rs12418204,rs10919071,rs798544,rs6118083,rs2283792,rs2580816,rs710841,rs999943,rs1182188,rs263238,rs1366594,rs10841496,rs7578326,rs2681472,rs2601828,rs477895,rs4132509,rs1869901,rs815815,rs6056209,rs2306677,rs2237349,rs7111341,rs10495928,rs2659546,rs2782980,rs11611208,rs6842241,rs11065611,rs2281845,rs216013,rs869244,rs365990,rs3796804,rs1950500,rs798497,rs12883884,rs6807064,rs2943641,rs2681492,rs710446
kegg	path:hsa04024	cAMP signaling pathway - Homo sapiens (human)	rs12658202,rs1348582,rs2877716,rs11671664,rs1926657,rs82625,rs3781264,rs3995090,rs1812175,rs10919071,rs2819742,rs2819770,rs4764043,rs4148441,rs10052657,rs7591064,rs2283792,rs17111394,rs2160519,rs702543,rs263238,rs4764039,rs572169,rs10841496,rs2681472,rs2601828,rs3780792,rs29232,rs1588265,rs477895,rs7554607,rs4132509,rs6265,rs12101261,rs3765524,rs8017455,rs4601609,rs815815,rs1828591,rs11214606,rs2237349,rs10491334,rs2782980,rs1127065,rs11611208,rs6842241,rs11065611,rs2274223,rs2281845,rs216013,rs2268363,rs4724100,rs4148546,rs12344583,rs8016947,rs13118928,rs1823068,rs6854783,rs6807064,rs10493389,rs7665090,rs2681492
kegg	path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	rs10889677,rs1126757,rs12431733,rs1572072,rs5936487,rs4788084,rs484959,rs13278062,rs4143832,rs17810546,rs11209026,rs860413,rs6993813,rs2310173,rs485499,rs2201841,rs1859156,rs9594759,rs6761276,rs1420101,rs10045431,rs3806932,rs3790567,rs6074022,rs3024505,rs951005,rs9290936,rs706779,rs6478109,rs3194051,rs3803800,rs3118470,rs1892534,rs3093024,rs2104286,rs1341239,rs9594738,rs979233,rs4273077,rs1800693,rs6478108,rs3093023,rs7626795,rs9510787,rs2103868,rs7789197,rs2284033,rs20541,rs7911500,rs10137082,rs4129267,rs12251307,rs1342326,rs13188386,rs4844096,rs1801275,rs2234978,rs6897932,rs12753193,rs6469804,rs4444235,rs882300,rs4537545,rs12198986,rs3213094,rs11465804,rs2957128,rs630923,rs1746048,rs7517847,rs13314993,rs2870946,rs2546890,rs4355801,rs4796217,rs2006996,rs1295686,rs2205960,rs967417,rs7090512,rs2075726,rs1837253,rs10021303,rs6421571,rs6441286,rs1077667,rs3771166,rs3018362
kegg	path:hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	rs13314993,rs13278062,rs484959,rs1077667,rs3118470,rs4796217,rs3093024,rs2104286,rs882300,rs7090512,rs706779,rs1800693,rs3093023,rs4537545,rs4129267,rs3024505,rs2284033,rs7911500,rs6421571,rs12251307,rs951005,rs3771166,rs630923,rs1746048
kegg	path:hsa04062	Chemokine signaling pathway - Homo sapiens (human)	rs744166,rs6056209,rs291353,rs2877716,rs13314993,rs741301,rs2153960,rs7905537,rs9480865,rs4796217,rs3093024,rs13230047,rs3753242,rs6118083,rs2283792,rs882300,rs263238,rs2066808,rs12344583,rs8023445,rs3093023,rs8016947,rs10488031,rs169082,rs2601828,rs3780792,rs10758669,rs477895,rs4132509,rs6421571,rs630923,rs11984075,rs7665090,rs951005,rs6063312,rs1869901,rs1746048
kegg	path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	rs5498,rs3093030,rs968451,rs4844096,rs5936487,rs610604,rs2327832,rs290986,rs3761847,rs7238078,rs4796217,rs7665090,rs1801516,rs9594738,rs1799969,rs9594759,rs1800693,rs3219090,rs8016947,rs6074022,rs2413583,rs2230926,rs1077667,rs951005,rs2957128,rs3018362,rs1746048,rs10133111
kegg	path:hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	rs2115386,rs744166,rs180515,rs17036350,rs891088,rs1799852,rs7111341,rs2896526,rs17086609,rs1127065,rs7072268,rs1049296,rs9472138,rs2283792,rs1867504,rs3811647,rs4795067,rs4537545,rs1321311,rs3889237,rs4129267,rs4132509,rs5742692,rs7665090,rs11979158
kegg	path:hsa04068	FoxO signaling pathway - Homo sapiens (human)	rs2115386,rs4660531,rs744166,rs3194051,rs891088,rs7111341,rs2755237,rs3764640,rs2153960,rs7713917,rs7795096,rs7805747,rs9480865,rs744910,rs860413,rs2283792,rs6897932,rs1801516,rs1063192,rs2038256,rs2069408,rs7578326,rs1321311,rs17050782,rs4238010,rs3024505,rs560887,rs4132509,rs1402837,rs5742692,rs2943641,rs11979158,rs11611647
kegg	path:hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)	rs815815,rs6056209,rs2306677,rs3781264,rs6561030,rs4142110,rs838705,rs2274223,rs6118083,rs11248060,rs999943,rs12537,rs1012053,rs3889237,rs9969804,rs2302189,rs3765524,rs1869901,rs7506045
kegg	path:hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	rs6056209,rs7157785,rs2251746,rs10495928,rs798544,rs6118083,rs3753242,rs2283792,rs1182188,rs1800693,rs798497,rs1864982,rs11158493,rs3889237,rs4132509,rs7665090,rs680379,rs17126232,rs710446,rs1869901
kegg	path:hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	rs2115386,rs2251746,rs17036350,rs2877716,rs2306374,rs891088,rs6561030,rs17691394,rs4142110,rs798544,rs12821256,rs3805236,rs6118083,rs838705,rs2283792,rs1182188,rs263238,rs1012053,rs10831496,rs2601828,rs4132509,rs1011731,rs8023445,rs1869901,rs3782181,rs11971186,rs6056209,rs7111341,rs2114039,rs290986,rs17864092,rs7435,rs11248060,rs4650608,rs10895547,rs798497,rs678962,rs7677751,rs3889237,rs2502731,rs1983853,rs9870680,rs11979158,rs995030
kegg	path:hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	rs12970134,rs12658202,rs13188386,rs1403543,rs11671664,rs82625,rs3995090,rs17691394,rs12207601,rs7905537,rs1387153,rs4764043,rs7591064,rs17111394,rs8099939,rs12753193,rs2160519,rs4764039,rs572169,rs12914385,rs4613763,rs154659,rs12201676,rs10831496,rs783147,rs950776,rs29232,rs12101261,rs8017455,rs363512,rs11971186,rs11214606,rs1010254,rs2166706,rs1447352,rs9310736,rs10871777,rs9303521,rs2782980,rs1892534,rs710446,rs6842241,rs17864092,rs571312,rs869244,rs8043440,rs393152,rs1341239,rs2268363,rs1051730,rs4676406,rs4650608,rs979233,rs4785763,rs13405728,rs1983853,rs2274459,rs9870680,rs8042374,rs12797755
kegg	path:hsa04110	Cell cycle - Homo sapiens (human)	rs10927875,rs10876993,rs9642880,rs445,rs1547014,rs744910,rs1493682,rs8102137,rs738722,rs11968166,rs1801516,rs1063192,rs2069408,rs2282978,rs3218097,rs1321311,rs4238010,rs2431697,rs11611647
kegg	path:hsa04114	Oocyte meiosis - Homo sapiens (human)	rs5919432,rs2306677,rs2877716,rs5031002,rs7111341,rs2659546,rs359457,rs1127065,rs1493682,rs8102137,rs6625163,rs2283792,rs783540,rs999943,rs2069408,rs263238,rs17763373,rs11158493,rs2601828,rs2431697,rs5742692,rs815815
kegg	path:hsa04115	p53 signaling pathway - Homo sapiens (human)	rs11968166,rs1801516,rs2069408,rs10876993,rs2282978,rs12143943,rs3218097,rs1321311,rs445,rs4238010,rs1547014,rs8102137,rs738722,rs5742692,rs2234978,rs11611647
kegg	path:hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)	rs12913832,rs889312,rs2430212,rs6966038,rs5742915,rs11630290,rs16912145,rs2075876,rs307896,rs1667394,rs16886165,rs1394125,rs5754217,rs4821112
kegg	path:hsa04122	Sulfur relay system - Homo sapiens (human)	
kegg	path:hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)	rs17608766,rs1411478,rs11602954,rs10871454,rs2280543,rs10760706
kegg	path:hsa04136	Autophagy - other - Homo sapiens (human)	rs17036350,rs2241880,rs3792109
kegg	path:hsa04137	Mitophagy - animal - Homo sapiens (human)	rs6610953,rs9480865,rs7647307,rs2842643,rs2306374,rs1561570,rs2153960,rs4601609
